Transaction ID,Transaction Amount (USD),Fraud Label,Analyst ID,Experimental Arm,Analyst Decision,Decision Time (seconds),Perceived Confidence,Perceived Information
1,207.85000000000002,0,1,Control (Scores),approved,24,High confidence,Medium information
2,88.5,0,2,Control (No Scores),approved,61,High confidence,High information
3,139.24,0,1,Control (Scores),approved,8,Certainty,High information
4,165.85000000000002,0,3,Control (No Scores),approved,26,High confidence,Low information
5,159.53,0,3,Control (Scores),approved,16,High confidence,Low information
6,113.58,0,2,Control (No Scores),declined,52,High confidence,High information
7,141.32,0,1,Control (Scores),approved,15,High confidence,Medium information
8,8.1,0,3,Control (No Scores),approved,92,Low confidence,No information
9,93.85000000000001,0,3,Control (Scores),approved,30,High confidence,Low information
10,801.09,0,2,Control (No Scores),declined,62,Medium confidence,High information
11,118.83,0,1,Control (No Scores),approved,28,Medium confidence,Medium information
12,144.09,1,3,Control (Scores),declined,37,High confidence,Low information
13,224.14,1,2,Control (Scores),approved,96,High confidence,High information
14,125.47000000000001,0,1,Control (Scores),approved,5,Certainty,High information
15,57.199999999999996,0,1,Control (No Scores),approved,53,Medium confidence,Medium information
16,126.58999999999999,0,3,Control (Scores),approved,34,Medium confidence,Low information
17,268.27000000000004,0,1,Control (No Scores),approved,36,High confidence,Medium information
18,276.67,0,3,Control (Scores),approved,33,High confidence,Low information
19,107.80000000000001,0,2,Control (No Scores),approved,97,Medium confidence,High information
20,73.47000000000001,0,1,Control (No Scores),approved,28,High confidence,Medium information
21,345.89,0,2,Control (Scores),declined,210,High confidence,High information
22,197.64000000000001,0,2,Control (Scores),approved,24,High confidence,High information
23,67.64,0,1,Control (No Scores),declined,48,High confidence,Medium information
24,70.83000000000001,0,3,Control (No Scores),approved,35,High confidence,Medium information
25,106.88,0,1,Control (No Scores),approved,30,High confidence,High information
26,65.84,1,1,Control (No Scores),approved,39,Medium confidence,Low information
27,272.0,1,3,Control (Scores),approved,52,Medium confidence,Low information
28,409.46,0,2,Control (Scores),declined,13,High confidence,High information
29,148.8,0,1,Control (No Scores),approved,36,High confidence,Low information
30,321.98,0,1,Control (No Scores),declined,37,High confidence,Medium information
31,98.8,1,3,Control (Scores),declined,18,High confidence,Low information
32,33.7,0,3,Control (Scores),declined,19,High confidence,Low information
33,223.94,0,1,Control (Scores),approved,63,Medium confidence,Medium information
34,262.36,0,2,Control (No Scores),declined,31,High confidence,High information
35,97.02000000000001,0,2,Control (Scores),approved,70,High confidence,High information
36,255.11,0,3,Control (No Scores),approved,30,High confidence,Low information
37,135.07999999999998,0,3,Control (No Scores),approved,14,Medium confidence,Low information
38,175.9,0,2,Control (No Scores),suspicious,72,Medium confidence,Low information
39,149.59,0,3,Control (Scores),approved,33,High confidence,Low information
40,110.77,0,2,Control (No Scores),declined,32,Medium confidence,High information
41,126.98,0,3,Control (Scores),approved,38,High confidence,Low information
42,282.10999999999996,0,1,Control (No Scores),declined,37,High confidence,High information
43,130.25,0,3,Control (No Scores),approved,56,High confidence,Medium information
44,1004.41,0,2,Control (No Scores),approved,68,High confidence,High information
45,127.04,0,1,Control (Scores),declined,24,High confidence,High information
46,91.81,0,2,Control (Scores),approved,96,Medium confidence,High information
47,256.65999999999997,0,1,Control (Scores),declined,32,High confidence,Medium information
48,1081.9099999999999,0,2,Control (Scores),approved,113,Low confidence,Medium information
49,63.04,0,3,Control (No Scores),approved,12,Certainty,Medium information
50,71.47,0,2,Control (No Scores),approved,77,Low confidence,High information
51,284.06,0,3,Control (No Scores),declined,37,Certainty,Medium information
52,127.23,0,2,Control (No Scores),approved,27,Medium confidence,High information
53,80.59,0,3,Control (No Scores),approved,16,Certainty,Low information
54,162.85,0,2,Control (No Scores),approved,80,High confidence,High information
55,175.26,0,2,Control (No Scores),approved,57,Medium confidence,High information
56,140.28,0,1,Control (Scores),approved,7,High confidence,High information
57,285.2,0,3,Control (Scores),declined,30,Medium confidence,Low information
58,272.86,0,3,Control (No Scores),suspicious,112,High confidence,No information
59,150.74,0,1,Control (Scores),approved,53,Medium confidence,Medium information
60,113.8,0,3,Control (No Scores),declined,106,High confidence,Low information
61,240.89,0,2,Control (Scores),approved,17,High confidence,High information
62,280.61,0,1,Control (Scores),approved,9,Certainty,High information
63,158.92999999999998,0,2,Control (No Scores),approved,16,High confidence,High information
64,137.61,0,2,Control (No Scores),approved,35,Certainty,All information
65,210.82,0,1,Control (Scores),approved,8,Certainty,High information
66,220.53,0,1,Control (No Scores),approved,27,High confidence,Medium information
67,399.74,0,1,Control (No Scores),approved,29,High confidence,Medium information
68,172.01,0,1,Control (No Scores),approved,25,Medium confidence,Medium information
69,99.25,0,1,Control (Scores),approved,14,High confidence,High information
70,55.68,0,2,Control (Scores),approved,42,High confidence,High information
71,114.72,0,2,Control (Scores),approved,23,High confidence,High information
72,95.76,0,2,Control (No Scores),approved,34,High confidence,High information
73,141.47,0,3,Control (No Scores),approved,59,Medium confidence,Medium information
74,71.66,0,1,Control (Scores),approved,23,High confidence,High information
75,171.98,0,2,Control (No Scores),approved,133,Low confidence,High information
76,105.4,0,1,Control (No Scores),declined,28,High confidence,Medium information
77,185.26,0,2,Control (Scores),approved,64,Medium confidence,High information
78,638.3299999999999,1,1,Control (Scores),suspicious,54,High confidence,Medium information
79,127.56,0,3,Control (Scores),approved,44,High confidence,Low information
80,1631.02,0,3,Control (No Scores),declined,33,High confidence,No information
81,162.31,0,2,Control (No Scores),approved,69,Medium confidence,High information
82,172.31,0,1,Control (No Scores),approved,23,Medium confidence,Low information
83,158.66,0,2,Control (No Scores),approved,68,Medium confidence,High information
84,228.88,0,2,Control (Scores),approved,18,Certainty,High information
85,104.89999999999999,0,2,Control (Scores),approved,22,High confidence,High information
86,130.88,0,3,Control (Scores),approved,54,High confidence,Low information
87,194.43,0,3,Control (Scores),declined,58,High confidence,Low information
88,120.42,0,3,Control (Scores),declined,36,High confidence,Low information
89,136.74,0,3,Control (No Scores),approved,20,High confidence,Low information
90,135.23,0,2,Control (No Scores),approved,41,High confidence,High information
91,250.19,1,2,Control (Scores),declined,100,Low confidence,Medium information
92,712.22,0,3,Control (No Scores),declined,71,Medium confidence,Low information
93,185.85,0,1,Control (No Scores),approved,5,High confidence,High information
94,49.34,0,3,Control (Scores),approved,29,Medium confidence,Low information
95,417.5,0,2,Control (No Scores),declined,103,Medium confidence,High information
96,72.07,1,3,Control (Scores),approved,12,High confidence,Low information
97,137.71,0,3,Control (No Scores),approved,23,High confidence,Low information
98,221.61,0,3,Control (No Scores),approved,58,High confidence,Medium information
99,161.85999999999999,0,3,Control (Scores),approved,13,High confidence,Low information
100,195.51,0,2,Control (No Scores),approved,106,Medium confidence,Medium information
101,154.39,0,3,Control (No Scores),approved,61,High confidence,Medium information
102,983.37,0,2,Control (No Scores),approved,60,Certainty,All information
103,210.4,0,3,Control (Scores),approved,16,High confidence,Medium information
104,54.69,0,1,Control (No Scores),approved,6,Certainty,High information
105,238.18,1,1,Control (No Scores),declined,21,High confidence,Medium information
106,126.78,0,3,Control (No Scores),approved,29,High confidence,High information
107,255.38000000000002,0,1,Control (No Scores),approved,5,Certainty,High information
108,99.05999999999999,0,3,Control (No Scores),approved,26,High confidence,Low information
109,118.13,0,3,Control (No Scores),approved,38,High confidence,Low information
110,273.48,0,2,Control (No Scores),approved,39,High confidence,High information
111,133.96,0,1,Control (Scores),approved,6,Certainty,High information
112,129.16,0,2,Control (No Scores),approved,79,High confidence,High information
113,185.01,0,2,Control (Scores),approved,32,High confidence,High information
114,170.31,0,1,Control (No Scores),approved,15,High confidence,High information
115,930.62,0,3,Control (No Scores),approved,71,Certainty,High information
116,100.6,0,2,Control (No Scores),declined,27,Medium confidence,Medium information
117,117.93,0,2,Control (Scores),approved,45,High confidence,High information
118,232.66,0,3,Control (No Scores),approved,41,Medium confidence,Low information
119,120.01,0,2,Control (Scores),approved,41,High confidence,High information
120,90.18,0,1,Control (Scores),approved,13,Certainty,High information
121,105.67,0,3,Control (No Scores),approved,16,High confidence,Low information
122,200.06,0,2,Control (No Scores),declined,56,Low confidence,High information
123,439.72,1,2,Control (Scores),declined,36,High confidence,High information
124,115.73,0,3,Control (Scores),approved,11,Medium confidence,Medium information
125,208.03,0,1,Control (No Scores),declined,15,High confidence,Medium information
126,115.06,1,3,Control (Scores),approved,24,Medium confidence,Low information
127,182.49,0,1,Control (No Scores),approved,20,High confidence,High information
128,168.47,0,1,Control (No Scores),approved,12,Certainty,All information
129,169.33999999999997,1,2,Control (Scores),declined,32,High confidence,High information
130,23.99,0,2,Control (Scores),approved,25,High confidence,Low information
131,145.65,0,2,Control (No Scores),declined,74,High confidence,High information
132,100.85,0,2,Control (Scores),approved,26,Medium confidence,High information
133,201.18,0,3,Control (Scores),declined,79,Medium confidence,No information
134,128.92,0,1,Control (No Scores),approved,4,High confidence,Medium information
135,48.16,0,1,Control (No Scores),approved,26,Medium confidence,Low information
136,146.63,1,3,Control (Scores),declined,24,Medium confidence,Low information
